iterations,rep,rep_instance,fitness,kry_3,kry_4,kry_5
800,9,4,18541.010000000002,7942,265701,7942
800,9,5,18466.79,7966,253479,7966
800,9,6,20616.89,9005,260689,9005
800,9,7,19808.73,8614,258073,8614
800,9,8,18368.940000000002,7947,247494,7947
800,9,9,19296.42,8354,258842,8354
1600,0,0,19848.23,8509,283023,8509
1600,0,1,18601.67,7871,285967,7871
1600,0,2,20646.2,8953,274020,8953
1600,0,3,20361.1,8746,286910,8746
1600,0,4,20665.55,8958,274955,8958
1600,0,5,20341.78,8829,268378,8829
1600,0,6,20490.059999999998,8899,269206,8899
1600,0,7,19932.25,8534,286425,8534
1600,0,8,20901.4,9074,275340,9074
1600,0,9,20670.29,8951,276829,8951
1600,1,0,20096.62,8658,278062,8658
1600,1,1,20362.8,8819,272480,8819
1600,1,2,19421.739999999998,8356,270974,8356
1600,1,3,20251.1,8762,272710,8762
1600,1,4,20719.61,8925,286961,8925
1600,1,5,19621.54,8394,283354,8394
1600,1,6,21556.65,9302,295265,9302
1600,1,7,19609.83,8506,259783,8506
1600,1,8,20783.73,9023,273773,9023
1600,1,9,18810.559999999998,8052,270656,8052
1600,2,0,21101.27,9224,265327,9224
1600,2,1,20481.86,8876,272986,8876
1600,2,2,19915.03,8579,275703,8579
1600,2,3,18535.8,7976,258380,7976
1600,2,4,19397.2,8336,272520,8336
1600,2,5,19292.32,8294,270432,8294
1600,2,6,19773.22,8528,271722,8528
1600,2,7,19126.93,8259,260893,8259
1600,2,8,19805.85,8474,285785,8474
1600,2,9,19965.95,8540,288595,8540
1600,3,0,18997.04,8153,269104,8153
1600,3,1,19146.73,8335,247673,8335
1600,3,2,20338.08,8839,266008,8839
1600,3,3,18984.14,8170,264414,8170
1600,3,4,18820.45,8084,265245,8084
1600,3,5,20054.87,8710,263487,8710
1600,3,6,19680.38,8559,256238,8559
1600,3,7,19289.15,8302,268515,8302
1600,3,8,20227.65,8804,261965,8804
1600,3,9,18677.79,8043,259179,8043
1600,4,0,18846.05,8157,253205,8157
1600,4,1,19708.09,8504,270009,8504
1600,4,2,18416.05,7852,271205,7852
1600,4,3,19677.47,8550,257747,8550
1600,4,4,18918.16,8234,245016,8234
1600,4,5,18141.38,7846,244938,7846
1600,4,6,17795.86,7623,254986,7623
1600,4,7,20012.21,8651,271021,8651
1600,4,8,19050.53,8232,258653,8232
1600,4,9,19026.97,8246,253497,8246
1600,5,0,20089.86,8684,272186,8684
1600,5,1,19541.61,8468,260561,8468
1600,5,2,19327.29,8310,270729,8310
1600,5,3,19375.73,8310,275573,8310
1600,5,4,20268.260000000002,8853,256226,8853
1600,5,5,19008.61,8141,272661,8141
1600,5,6,20611.35,8884,284335,8884
1600,5,7,19947.239999999998,8617,271324,8617
1600,5,8,20102.21,8710,268221,8710
1600,5,9,19860.58,8587,268658,8587
1600,6,0,22555.9,9687,318190,9687
1600,6,1,21653.09,9279,309509,9279
1600,6,2,21450.510000000002,9167,311651,9167
1600,6,3,21500.96,9199,310296,9199
1600,6,4,21697.21,9262,317321,9262
1600,6,5,21445.68,9184,307768,9184
1600,6,6,21215.489999999998,9135,294549,9135
1600,6,7,22362.58,9747,286858,9747
1600,6,8,22060.16,9527,300616,9527
1600,6,9,21652.66,9387,287866,9387
1600,7,0,21531.14,9336,285914,9336
1600,7,1,20813.79,9009,279579,9009
1600,7,2,22896.86,10044,280886,10044
1600,7,3,20973.739999999998,9094,278574,9094
1600,7,4,22354.11,9727,290011,9727
1600,7,5,21018.87,9086,284687,9086
1600,7,6,20820.2,8978,286420,8978
